id;title;year;type;file_main;dimensions;tags;description;scale;credits
ASML_VISUAL_1;I though ASML slept on Sundays;2024;visual/installation;ASML_VISUAL_1.webp;;"sonic;installation;";ambiphonic sound  installation;1;with Emma Zerial & Aleksandra Nazarova
ASML_VISUAL_2;I though ASML slept on Sundays;2024;visual/installation;ASML_VISUAL_2.webp;;"sonic;installation;";tweet detail;2;with Emma Zerial & Aleksandra Nazarova
ASML_VISUAL_3;I though ASML slept on Sundays;2024;visual/installation/still/research;ASML_VISUAL_3.webp;;"sonic;installation;video";still from video;1;with Emma Zerial & Aleksandra Nazarova
ASML_PUBLICATION_1;I though ASML slept on Sundays;2024;visual/publication/research;ASML_PUBLICATION_1.webp;;"sonic;publication "; publication;3;with Emma Zerial & Aleksandra Nazarova
ASML_PUBLICATION_2;I though ASML slept on Sundays;2024;visual/publication/research;ASML_PUBLICATION_2.webp;;"sonic;publication ";publication;3;with Emma Zerial & Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_1;Borders of Neutrality;2024;visual/installation/object;BORDERS_OF_NEUTRALITY_VISUAL_1.webp;;"object;installation";detail ;2;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_2;Borders of Neutrality;2024;visual/installation/still;BORDERS_OF_NEUTRALITY_VISUAL_2.webp;;"installation;sonic;video";Multimedia Installation;1;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_3;Borders of Neutrality;2024;visual/installation/still;BORDERS_OF_NEUTRALITY_VISUAL_3.webp;;"installation;sonic;video";Multimedia Installation;1;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_4;Borders of Neutrality;2024;visual/performance/ installation;BORDERS_OF_NEUTRALITY_VISUAL_4.webp;;"installation;sonic;performance";sound performance;2;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_5;Borders of Neutrality;2024;visual/object/installation;BORDERS_OF_NEUTRALITY_VISUAL_5.webp;;"installation;sonic;performance";slate bench;2;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_6;Borders of Neutrality;2024;visual/still/installation;BORDERS_OF_NEUTRALITY_VISUAL_6.webp;;"installation;sonic;video";still from video;1;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_7;Borders of Neutrality;2024;visual/object/installation;BORDERS_OF_NEUTRALITY_VISUAL_7.webp;;"installation;sonic;object";slate bench detail;3;with Aleksandra Nazarova
BORDERS OF NEUTRALITY_VISUAL_8;Borders of Neutrality;2024;visual/still/installation;BORDERS_OF_NEUTRALITY_VISUAL_8.webp;;"installation;sonic;video";still from video;2;with Aleksandra Nazarova
